[
  "Número",
  "Título",
  "Estado",
  "Repositorio",
  "Descripción"
]
1,"Crear script fetch + parser JPL Horizons","Done","SergioMainJG/OrbitalJS","## Objetivo
Obtener condiciones iniciales reales de Mercurio, Venus, Tierra y Marte desde la NASA JPL Horizons API.

## Criterios de aceptación
- [ ] Script en Bun/Node que consulte `https://ssd.jpl.nasa.gov/api/horizons.api`
- [ ] Parsear texto plano de respuesta
- [ ] Extraer: fecha, x, y, vx, vy (UA y UA/día)
- [ ] Generar `src/data/planets.json` con array de 4 planetas
- [ ] Incluir metadata: nombre, masa (kg), color para renderizado

## Nota
La API devuelve texto plano. Usar regex o split por líneas. Guardar JSON estático; el frontend no llama a NASA directamente.

## Referencias:
- [nasa-api](https://ssd-api.jpl.nasa.gov/doc/horizons.html)
- [bun](https://bun.sh)"
2,"Implementar Euler explícito en TypeScript","Done","SergioMainJG/OrbitalJS","## Objetivo
Integrador numérico básico para comparación posterior con RK4.

## Criterios de aceptación
- [ ] Función `eulerStep(state: BodyState[], dt: number): BodyState[]`
- [ ] Estado tipado: `{ name: string, x: number, y: number, vx: number, vy: number, mass: number }`
- [ ] Calcular aceleración gravitacional N-cuerpos: `a_i = G * Σ(m_j * (r_j - r_i) / |r_j - r_i|^3)`
- [ ] Retornar nuevo estado: `v_new = v + a*dt`, `r_new = r + v_new*dt`

## Referencias
- [RK4 - yt](https://www.youtube.com/watch?v=dShtlMl69kY)"
3,"Implementar RK4 en TypeScript","Done","SergioMainJG/OrbitalJS","## Objetivo
Integrador Runge-Kutta de 4.° orden para el sistema N-cuerpos. Núcleo matemático del proyecto.

## Criterios de aceptación
- [ ] Función `rk4Step(state: BodyState[], dt: number): BodyState[]`
- [ ] Implementar k1, k2, k3, k4 evaluando aceleración en 4 puntos intermedios
- [ ] Estado completo: vector de 4N componentes (N cuerpos × 4: x, y, vx, vy)
- [ ] Paso final: `y_{n+1} = y_n + (k1 + 2*k2 + 2*k3 + k4) * dt / 6`

"
4,"Validar órbita terrestre vs datos NASA","Done","SergioMainJG/OrbitalJS","## Objetivo
Verificar que RK4 + condiciones iniciales NASA reproducen la órbita real de la Tierra.

## Criterios de aceptación
- [ ] Cargar `planets.json` con condición inicial de Tierra
- [ ] Simular 365 días con dt = 0.5 días
- [ ] Posición final debe estar a < 0.05 UA de la posición inicial (elipse cerrada)
- [ ] Graficar trayectoria: debe verse como elipse con Sol en un foco

## Métrica de éxito
Si la Tierra no vuelve cerca de su punto de partida después de 1 año, el integrador o los datos están mal.

## Entregable Adicional
Screenshot de la órbita + valor de error de cierre en el PR como link en esta mismo issue"
5,"Setup Canvas 2D en Solid con loop de animación","Done","SergioMainJG/OrbitalJS","## Objetivo
Componente Solid que renderice el sistema solar en Canvas 2D.

## Criterios de aceptación
- [ ] Componente `SolarSystemComponent` con `<canvas>` nativo
- [ ] Loop con `requestAnimationFrame` fuera de Solid
- [ ] Método `render(state: BodyState[])` que limpie y redibuje cada frame
- [ ] Escala automática: convertir UA a píxeles según tamaño del canvas
- [ ] Centro del canvas = Sol (0,0)

## Optimización
- [ ] Usar `transform` (translate + scale) del contexto 2D, no recalcular cada coordenada manualmente
- [ ] Offscreen canvas para estrellas de fondo (estático)

## Nota
No usar librerías de gráficos. Canvas 2D nativo es suficiente y más ligero."
6,"Dibujar planetas con trails y colores distintivos","Done","SergioMainJG/OrbitalJS","## Objetivo
Representación visual de cada planeta con historia de trayectoria.

## Criterios de aceptación
- [ ] Círculo por planeta, radio proporcional a masa (escala logarítmica)
- [ ] Color por planeta: Mercurio (gris), Venus (amarillo), Tierra (azul), Marte (rojo), Sol (naranja)
- [ ] Trail: array de últimas N posiciones (N=200), dibujado como línea degradada en opacidad
- [ ] Label con nombre al hacer hover (opcional para MVP)

## Efecto visual
- [ ] Sol con glow radial (radialGradient)
- [ ] Planetas con sombra sutil para profundidad

## Performance
Trail no debe almacenar infinitos puntos. Limitar a N máximo."
7,"Implementar comparador Euler vs RK4 en pantalla","Done","SergioMainJG/OrbitalJS","## Objetivo
Visualización pedagógica del error numérico: dos simulaciones simultáneas con mismas condiciones iniciales.

## Criterios de aceptación
- [ ] Modo ""comparación"": duplicar estado, uno integrado con Euler, otro con RK4
- [ ] Euler: línea roja, punteada, trail corto (se desvía rápido)
- [ ] RK4: línea azul, sólida, trail completo (estable)
- [ ] Leyenda explicativa: ""Euler (O(Δt))"" vs ""RK4 (O(Δt⁴))""
- [ ] Toggle en UI para activar/desactivar modo comparación

## Métrica visual
Al cabo de ~500 pasos, la trayectoria Euler debe divergir visiblemente de RK4. Si no se ve, algo está mal.
"
8,"Panel de energía con Chart.js en tiempo real","Done","SergioMainJG/OrbitalJS","## Objetivo
Monitor de conservación de energía: prueba automática de calidad del integrador.

## Criterios de aceptación
- [ ] Componente `EnergyPanelComponent` con Chart.js (instalado vía bun/npm/pnpm/yarn)
- [ ] Gráfica de línea con 3 series: E. cinética, E. potencial, E. total
- [ ] Eje Y: energía en unidades arbitrarias (escala normalizada)
- [ ] Eje X: tiempo simulado (días)
- [ ] Drift porcentual mostrado en número grande: `|E(t) - E(0)| / |E(0)| * 100%`

## Alerta visual
- [ ] Drift < 0.1%: color verde
- [ ] Drift 0.1-1%: color amarillo
- [ ] Drift > 1%: color rojo + mensaje ""RK4 necesita dt más pequeño""

## Fórmulas
- Ecin = Σ ½ * m_i * (vxi² + vyi²)
- Epot = -G * Σ_{i<j} m_i * mj / |ri - rj|
- Etotal = Ecin + Epot"
9,"Lanzador de naves (click + drag para velocidad inicial)","Todo","SergioMainJG/OrbitalJS","## Objetivo
Gamificación: el usuario puede ""lanzar"" una nave espacial y ver cómo la gravedad curva su trayectoria.

## Criterios de aceptación
- [ ] Mousedown en canvas: fijar posición inicial de nave
- [ ] Mousemove con botón presionado: dibujar vector velocidad (línea con flecha)
- [ ] Mouseup: crear cuerpo con masa pequeña (m_nave << m_planetas) e integrar con RK4
- [ ] Nave representada como triángulo orientado a la velocidad
- [ ] Trail de nave en color blanco/cian

## Física
- [ ] La nave siente gravedad de TODOS los cuerpos (incluido Sol)
- [ ] Si nave choca con planeta o Sol (distancia < radio), desaparece con mensaje ""Impacto"" (Un `Boom` o `Plow`)

## UX
- [ ] Cursor cambia a crosshair cuando está en modo lanzamiento
- [ ] Escapar o clic derecho cancela el lanzamiento"
10,"Controles globales (play/pause/velocidad/reset)","Todo","SergioMainJG/OrbitalJS","## Objetivo
Barra de control para manipular la simulación sin tocar código.

## Criterios de aceptación
- [ ] Play/Pause: alternar loop de requestAnimationFrame
- [ ] Slider de velocidad: 0.1x, 0.5x, 1x, 2x, 5x, 10x (dt multiplicador, no frameskip)
- [ ] Reset: volver a condiciones iniciales del JSON
- [ ] Step forward: avanzar 1 paso manualmente (para debug)
- [ ] Toggle ""Mostrar comparador Euler/RK4"" (solo si RENDER-3 está listo)

## Diseño
- [ ] Tailwind CSS: botones con iconos (SVG inline), no dependencias de icon library
- [ ] Posición: fixed bottom-center o sidebar derecha
- [ ] Responsive: en móvil, controles verticales apilados

## Referencia
- [svgs](https://icon-sets.iconify.design)
- [tailwindcss](https://tailwindcss.com)"
